gid,title,proba
1,3d наклейки на телефон,0
2,3d принтер,0
3,3d лампа,0
4,3d ручка,0
5,абонемент в автомойку,0
6,абонемент в бассейн,0
7,абонемент в тренажерный зал,0
8,абонемент в фитнес-клуб,0
9,абонемент в школу танцев,0
10,абонемент на занятия по йоге,0
11,абонемент на футбольный сезон,0
12,автобокс на крышу,0
14,автомагнитола,0
15,автомобиль,0
18,автомобильное зарядное устройство,0
20,автомобильный держатель для телефона,0
22,автомобильный компрессор,0
23,автомобильный пылесос,0
24,автомобильный сабвуфер,0
25,автомобильный усилитель,0
26,автомобильный холодильник,0
27,авторский шоколад,0
28,аквариум с рыбками,0
29,акваферма,0
30,акустическая система,0
31,алкотестер,0
32,альбом для наклеек,0
33,анатомическая подушка,0
34,антивозрастная косметика,0
35,антикварная мебель,0
36,антикварная посуда,0
37,антистрессовая игрушка,0
38,антистрессовая подушка,0
39,аппарат для приготовления пончиков,0
40,аппарат для приготовления сладкой ваты,0
41,аппарат для приготовления чуррос,0
42,аппарат для приготовления хот-догов,0
43,арбалет,0
45,аромадиффузор,0
46,аромалампа,0
47,ароматические свечи,0
48,аэрогриль,0
49,аэрофритюрница,0
51,байдарка,0
52,балалайка,0
53,балансборд,0
54,балетки,0
55,бандаж спортивный,0
56,банкноты иностранные,0
57,банное полотенце,0
58,банный набор,0
59,батут для фитнеса,0
60,беговая дорожка,0
61,бензиновая зажигалка,0
62,бензопила,0
63,беспроводные наушники,0
64,бигуди,0
65,билет в кино,0
66,билет в театр,0
67,билет на балет,0
68,билет на бизнес-тренинг,0
69,билет на выставку,0
70,билет на футбольный матч,0
71,билет на концерт,0
72,билет на мюзикл,0
73,билет на оперу,0
74,бильярдный стол с комплектом,0
75,бинокль,0
76,бинокль театральный,0
77,биокамин,0
78,бита бейсбольная,0
79,блендер,0
80,блинница,0
81,блины для штанги,0
82,блузка,0
83,бокал с гравировкой,0
84,боксерская груша,0
85,боксерские перчатки,0
86,болгарка,0
87,босоножки ,0
88,ботильоны ,0
89,ботинки,0
90,браслет,0
91,браслет ручной работы,0
92,брелок,0
93,брелок с гравировкой,0
94,бриджи,0
95,брошь,0
96,будильник с мишенью,0
97,букет из деликатесов,0
98,букет из мыла,0
99,букет из мягких игрушек,0
100,букет из сладостей,0
101,букет цветов,0
102,бумажник,0
103,бусы,0
104,бутылка для воды с фильтром,0
105,органайзер для косметики,0
106,ваза,0
108,валик для сна с ароматравами,0
109,варочная панель,0
110,вафельница,0
111,веб-камера,0
112,ведёрко для льда с щипцами,0
113,веер складной,0
114,вейп,0
115,велокомпьютер,0
116,велосипед,0
117,велотренажер,0
118,веник для бани,0
119,вентилятор,0
120,ветчинница,0
121,умный блокнот,0
122,вечный календарь,0
123,видео с поздравлением,0
124,видеоигра,0
125,видеокамера,0
126,видеорегистратор,0
127,виниловые пластинки,0
128,виниловый проигрыватель,0
129,винный шкаф,0
130,вино,0
131,винтажная шкатулка,0
132,винтажное украшение,0
133,винтажные журналы,0
134,винтажные часы,0
135,виски,0
136,внешний жесткий диск,0
137,водные лыжи,0
138,водонагреватель,0
139,воздушные шары,0
140,воздушный змей,0
141,волейбольная сетка,0
142,волейбольный мяч,0
143,выпрямитель для волос,0
144,вытяжка,0
145,вязаные вещи,0
146,газонокосилка,0
147,гайковерт,0
148,галстук,0
149,гамак,0
150,гамак для йоги ,0
151,гантели,0
152,геймерские наушники,0
153,геймерское кресло,0
154,геймпад,0
155,геймпад для смартфона,0
158,гидромассажная ванночка для ног,0
159,гироскутер,0
160,гиря,0
161,гладильная доска,0
162,глобус-бар,0
163,горелка газовая,0
164,городской рюкзак,0
165,гостиная стенка,0
168,графический планшет,0
169,гребной тренажёр,0
170,гриль,0
171,гриф,0
173,дарсонваль,0
174,дартс,0
175,декантер,0
176,декоративная косметика,0
177,декоративные диванные подушки,0
178,декоративный садовый фонтан,0
179,деловой портфель,0
180,деньги,0
181,держатель для винных бутылок,0
182,держатель планшета автомобильный на подголовник,0
183,джамперы,0
184,джинсы,0
185,диван,0
186,диктофон,0
187,диски на автомобиль,0
188,диффузор ароматический,0
189,дождевик,0
190,док-станция для ноутбука,0
191,домашнее растение,0
192,домашние тапочки,0
193,домашний питомец,0
194,домашний планетарий,0
195,домашняя пивоварня,0
196,домашняя теплица,0
197,домкрат,0
198,дорожная аптечка,0
199,дорожный набор для сна,0
200,дорожный несессер,0
201,дорожный плед,0
203,дрель,0
204,дрель-шуруповерт,0
205,дровница,0
206,бочка дубовая для выдержки,0
207,духовой шкаф,0
209,ежедневник,0
210,женская сумка,0
211,живые цветы в вакууме,0
212,жилет,0
213,жиросжигатель в капсулах,0
214,журнальный столик,0
215,заварочная кружка,0
216,замок для велосипеда,0
217,запарник для бани,0
218,записная книжка,0
219,запонки и булавка для галстука,0
220,зеркало,0
221,зеркало с подсветкой,0
222,зонт,0
223,зонт от солнца,0
